Wall time,Step,Value
1671622091.1374543,27000,27000.0
1671622099.3788476,28000,27000.0
1671622107.374777,29000,27000.0
1671622115.7367272,30000,27000.0
1671622124.071224,31000,27000.0
1671622132.1854603,32000,27000.0
1671622140.2207592,33000,27000.0
1671622148.3725734,34000,27000.0
1671622156.3596685,35000,27000.0
1671622164.5457454,36000,27000.0
1671622172.5610015,37000,27000.0
1671622180.8417244,38000,27000.0
1671622189.1853657,39000,27000.0
1671622197.5103278,40000,27000.0
1671622205.582905,41000,27000.0
1671622213.7696564,42000,27000.0
1671622221.7856116,43000,27000.0
1671622230.126126,44000,27000.0
1671622238.2624397,45000,27000.0
1671622246.6210637,46000,27000.0
1671622254.8546612,47000,27000.0
1671622263.0560098,48000,27000.0
1671622271.272934,49000,27000.0
1671622279.486898,50000,27000.0
1671622287.649861,51000,27000.0
1671622295.8280828,52000,27000.0
1671622304.1888394,53000,27000.0
1671622312.5551977,54000,27000.0
1671622321.0759485,55000,27000.0
1671622329.2241862,56000,27000.0
1671622337.4898803,57000,27000.0
1671622345.4144797,58000,27000.0
1671622353.6805975,59000,27000.0
1671622361.6692178,60000,27000.0
1671622370.046128,61000,27000.0
1671622378.2309322,62000,27000.0
1671622386.863787,63000,27000.0
1671622394.9753954,64000,27000.0
1671622403.2732415,65000,27000.0
1671622411.3090634,66000,27000.0
1671622419.8157144,67000,27000.0
1671622427.8645742,68000,27000.0
1671622436.164124,69000,27000.0
1671622444.2275593,70000,27000.0
1671622452.7582035,71000,27000.0
1671622460.859038,72000,27000.0
1671622469.0611231,73000,27000.0
1671622477.208639,74000,27000.0
1671622485.4855633,75000,27000.0
1671622493.6308382,76000,27000.0
1671622502.0048356,77000,27000.0
1671622509.9814441,78000,27000.0
1671622518.4522257,79000,27000.0
1671622526.4511054,80000,27000.0
1671622534.7965367,81000,27000.0
1671622542.8279498,82000,27000.0
1671622551.113303,83000,27000.0
1671622559.1658618,84000,27000.0
1671622567.358823,85000,27000.0
1671622575.4675999,86000,27000.0
1671622583.7924733,87000,27000.0
1671622591.89918,88000,27000.0
1671622600.1139555,89000,27000.0
1671622608.2871435,90000,27000.0
1671622616.4235954,91000,27000.0
1671622624.7928977,92000,27000.0
1671622633.05817,93000,27000.0
1671622641.339829,94000,27000.0
1671622649.7158446,95000,27000.0
1671622658.1082287,96000,27000.0
1671622666.243861,97000,27000.0
1671622674.425338,98000,27000.0
1671622682.4679103,99000,27000.0
1671622690.8758607,100000,27000.0
1671622698.8970237,101000,27000.0
1671622707.115642,102000,27000.0
1671622715.3484187,103000,27000.0
1671622723.7900193,104000,27000.0
1671622731.8904278,105000,27000.0
1671622740.175068,106000,27000.0
1671622748.3163738,107000,27000.0
